from,to,weight,abs_weight,sign
Privacy risk,Expected study efficiency,0.18350333954413295,0.18350333954413295,positive
Hopeful while using ChatGPT,Frustrated while using ChatGPT,0.18169132869561364,0.18169132869561364,positive
Use for coding,Frustrated while using ChatGPT,0.17971043486793808,0.17971043486793808,positive
University ethical guidance,Inaccurate-information risk,0.17623590785459306,0.17623590785459306,positive
Satisfaction with information quality,Hopeful while using ChatGPT,0.17396422443512666,0.17396422443512666,positive
Use for coding,Simplifies complex information,0.17347067904511254,0.17347067904511254,positive
Use for academic writing,Satisfaction with information quality,0.17346682899265703,0.17346682899265703,positive
University ethical guidance,Satisfaction with information quality,0.1731742339714778,0.1731742339714778,positive
Simplifies complex information,ChatGPT is interesting,0.1705726140875073,0.1705726140875073,positive
ChatGPT is interesting,Hopeful while using ChatGPT,0.16905571841404593,0.16905571841404593,positive
General ChatGPT use,Anxious while using ChatGPT,0.16827310251434496,0.16827310251434496,positive
General ChatGPT use,Efficient information,0.16735773190066155,0.16735773190066155,positive
Use for academic writing,Inaccurate-information risk,0.16448842899917904,0.16448842899917904,positive
General ChatGPT use,Simplifies complex information,0.1628821332411569,0.1628821332411569,positive
General ChatGPT use,Inaccurate-information risk,0.1618406609485612,0.1618406609485612,positive
Inaccurate-information risk,Hopeful while using ChatGPT,0.1590920328162677,0.1590920328162677,positive
University ethical guidance,Hopeful while using ChatGPT,0.1544158446923836,0.1544158446923836,positive
Simplifies complex information,University ethical guidance,0.15358925536689055,0.15358925536689055,positive
Efficient information,Confused while using ChatGPT,0.15033791763084728,0.15033791763084728,positive
General ChatGPT use,Hopeful while using ChatGPT,0.14362106135781672,0.14362106135781672,positive
University ethical guidance,Expected study completion,0.14325873105163348,0.14325873105163348,positive
Simplifies complex information,Hopeful while using ChatGPT,0.1428450463159022,0.1428450463159022,positive
Efficient information,Frustrated while using ChatGPT,0.1397398090760094,0.1397398090760094,positive
University ethical guidance,Expected study efficiency,0.13945636131524286,0.13945636131524286,positive
Satisfaction with information quality,Confused while using ChatGPT,0.13889652463793084,0.13889652463793084,positive
Use for coding,Expected study completion,0.13781381361936446,0.13781381361936446,positive
Simplifies complex information,Satisfaction with information quality,0.13599986560882613,0.13599986560882613,positive
Use for coding,ChatGPT is interesting,0.13512078970711044,0.13512078970711044,positive
ChatGPT is interesting,Confused while using ChatGPT,0.13249792877634664,0.13249792877634664,positive
Expected study efficiency,Frustrated while using ChatGPT,0.13162887146813446,0.13162887146813446,positive
University ethical guidance,Anxious while using ChatGPT,0.12718321076465566,0.12718321076465566,positive
Use for coding,Confused while using ChatGPT,0.12586791864506477,0.12586791864506477,positive
Use for academic writing,University ethical guidance,0.12471701874556915,0.12471701874556915,positive
Use for academic writing,Privacy risk,0.1242599008521775,0.1242599008521775,positive
Efficient information,Expected study completion,0.12401661651993592,0.12401661651993592,positive
General ChatGPT use,University ethical guidance,0.12204379654951465,0.12204379654951465,positive
General ChatGPT use,Frustrated while using ChatGPT,0.12116300959203959,0.12116300959203959,positive
Efficient information,Privacy risk,0.11728353422321483,0.11728353422321483,positive
Expected study efficiency,Confused while using ChatGPT,0.11657170095874139,0.11657170095874139,positive
Inaccurate-information risk,Expected study completion,0.11557492273705944,0.11557492273705944,positive
Use for academic writing,Efficient information,0.1137440695309093,0.1137440695309093,positive
Simplifies complex information,Confused while using ChatGPT,0.11143506634159923,0.11143506634159923,positive
Privacy risk,Satisfaction with information quality,0.11068976014781928,0.11068976014781928,positive
Simplifies complex information,Privacy risk,0.10851007561899209,0.10851007561899209,positive
Satisfaction with information quality,Anxious while using ChatGPT,0.10830635352241279,0.10830635352241279,positive
Inaccurate-information risk,Expected study efficiency,0.10765576661530575,0.10765576661530575,positive
Use for coding,Inaccurate-information risk,0.10750295219934934,0.10750295219934934,positive
Expected study completion,Frustrated while using ChatGPT,0.10571626554069588,0.10571626554069588,positive
Use for coding,Anxious while using ChatGPT,0.10430962117231303,0.10430962117231303,positive
Simplifies complex information,Anxious while using ChatGPT,0.10173652220094269,0.10173652220094269,positive
Use for academic writing,Frustrated while using ChatGPT,0.10167372382229334,0.10167372382229334,positive
Efficient information,Hopeful while using ChatGPT,0.09701874445968112,0.09701874445968112,positive
Use for coding,Efficient information,0.09695489195050067,0.09695489195050067,positive
Use for coding,Hopeful while using ChatGPT,0.09523177986706852,0.09523177986706852,positive
Expected study efficiency,Anxious while using ChatGPT,0.09337377677962774,0.09337377677962774,positive
General ChatGPT use,Confused while using ChatGPT,0.09324014061655084,0.09324014061655084,positive
Simplifies complex information,Frustrated while using ChatGPT,0.09241230520984874,0.09241230520984874,positive
Expected study completion,Anxious while using ChatGPT,0.09161204861406047,0.09161204861406047,positive
University ethical guidance,Confused while using ChatGPT,0.08667791030259514,0.08667791030259514,positive
Privacy risk,Confused while using ChatGPT,0.08122025115013831,0.08122025115013831,positive
Use for coding,Satisfaction with information quality,0.07709258539447585,0.07709258539447585,positive
Use for academic writing,Expected study efficiency,0.07529935668990802,0.07529935668990802,positive
Use for academic writing,Confused while using ChatGPT,0.06942914741803086,0.06942914741803086,positive
Expected study completion,Confused while using ChatGPT,0.06780166902561907,0.06780166902561907,positive
Privacy risk,Frustrated while using ChatGPT,0.06592249952528045,0.06592249952528045,positive
Efficient information,Anxious while using ChatGPT,0.06485267751174703,0.06485267751174703,positive
Use for coding,Privacy risk,0.06356490923265214,0.06356490923265214,positive
Privacy risk,Hopeful while using ChatGPT,0.05502660144472834,0.05502660144472834,positive
Use for coding,University ethical guidance,0.052852365220466296,0.052852365220466296,positive
University ethical guidance,Frustrated while using ChatGPT,0.04720738836275104,0.04720738836275104,positive
